"Timestamp","Wie alt ist Politiker 1?","Wie fortschrittlich ist Politiker 1?","Wie rassistisch ist Politiker 1?","Wie ehrlich ist Politiker 1?","Wie hilfsbereit ist Politiker 1?","Wie intelligent ist Politiker 1?","Wie christlich ist Politiker 1?","Wie freundlich ist Politiker 1?","Zu welcher Partei gehört Politiker 1?","Wie alt ist Politiker 2?","Wie fortschrittlich ist Politiker 2?","Wie rassistisch ist Politiker 2?","Wie ehrlich ist Politiker 2?","Wie hilfsbereit ist Politiker 2?","Wie intelligent ist Politiker 2?","Wie christlich ist Politiker 2?","Wie freundlich ist Politiker 2?","Zu welcher Partei gehört Politiker 2?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/02/18 10:57:53 AM GMT+1","20-39","4","1","3","3","4","2","4","Linke","60-79","2","4","4","3","3","4","3","CDU","26","weiblich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/02/18 10:59:33 AM GMT+1","40-59","4","1","5","4","4","3","4","SPD","60-79","2","3","3","2","2","4","3","AfD","22","männlich","Abitur","Grüne","Neutral","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/02/18 11:00:54 AM GMT+1","40-59","5","1","5","4","5","4","5","Grüne","40-59","4","2","4","3","4","3","3","AfD","27","männlich","Realschule","Grüne","Neutral","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",""
"2022/02/18 11:02:08 AM GMT+1","40-59","4","1","4","3","3","3","3","CDU","40-59","3","2","5","3","3","3","3","keine Angabe","28","weiblich","Studium","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/02/18 11:03:09 AM GMT+1","60-79","1","3","2","2","2","4","2","CDU","40-59","1","4","2","2","3","4","1","CDU","46","männlich","Studium","Volt","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/02/18 11:03:30 AM GMT+1","40-59","5","2","2","4","3","5","3","CDU","60-79","3","3","4","2","3","4","2","CDU","22","weiblich","Abitur","SPD","Neutral","Neutral","Neutral","Neutral","Ich stimme zu",""
"2022/02/18 11:09:15 AM GMT+1","20-39","4","1","4","3","3","2","4","Grüne","40-59","3","3","4","2","3","4","3","CDU","25","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme nicht zu",""
"2022/02/18 11:10:04 AM GMT+1","40-59","3","2","4","4","4","4","4","CDU","60-79","2","3","4","4","4","3","2","CDU","24","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/02/18 11:10:06 AM GMT+1","40-59","4","2","4","4","4","3","4","CDU","40-59","2","3","4","3","3","3","2","AfD","46","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/02/18 11:11:51 AM GMT+1","40-59","3","3","3","2","2","4","3","CDU","40-59","3","3","3","2","3","4","2","AfD","42","weiblich","Abitur","SPD","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/02/18 11:13:54 AM GMT+1","60-79","2","4","2","2","2","4","2","AfD","60-79","2","4","2","2","2","4","2","CDU","33","männlich","Studium","Linke","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/02/18 11:14:06 AM GMT+1","40-59","3","1","3","3","4","3","3","SPD","40-59","3","1","3","3","4","3","3","keine Angabe","34","männlich","Abitur","FDP","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich finde es schwierig bis gar unmöglich anhand so kurzer und kontextloser Aussagen eine Ableitung zur Freundlichkeit, Intelligenz etc. zu treffen. Ein größerer Auszug der Aussage und der Kontext wären hilfreich. Auch eine verknüpftige Aussage kann im unpassenden Kontext einen Dummkopf ausmachen :)"
"2022/02/18 11:15:10 AM GMT+1","40-59","3","1","3","3","3","4","3","CDU","40-59","2","4","3","2","3","4","3","AfD","40","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/02/18 11:15:19 AM GMT+1","40-59","4","1","3","4","4","3","4","SPD","40-59","3","3","4","3","4","2","3","AfD","49","weiblich","Studium","SPD","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Ich stimme zu",""
"2022/02/18 11:18:09 AM GMT+1","40-59","3","2","2","2","3","3","3","CDU","40-59","4","2","3","3","4","2","4","Linke","30","männlich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",""
"2022/02/18 11:18:34 AM GMT+1","40-59","3","2","3","3","3","3","3","SPD","40-59","2","3","3","3","3","2","3","CDU","28","männlich","Studium","SPD","Neutral","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu",""
"2022/02/18 11:18:35 AM GMT+1","40-59","3","1","3","3","3","3","3","SPD","60-79","3","4","3","2","3","3","3","CDU","22","männlich","Abitur","FDP","Neutral","Neutral","Neutral","Neutral","Neutral",""
"2022/02/18 11:18:41 AM GMT+1","40-59","3","3","3","3","3","3","3","keine Angabe","60-79","2","4","3","3","3","5","2","CDU","28","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Neutral",""
"2022/02/18 11:23:18 AM GMT+1","40-59","3","3","3","3","3","3","3","keine Angabe","40-59","3","3","3","3","3","3","3","CDU","29","männlich","Abitur","Die Partei ","Ich stimme nicht zu","Neutral","Neutral","Neutral","Neutral","Da beide Politiker Aussagen tätigten, die je nach Kontext in alle Richtungen interpretiert werden können und es an Informationen fehlte, sah ich mich genötigt alles mit einer neutralen 3 zu bewerten."
