"Timestamp","Wie alt ist Politiker 1?","Wie fortschrittlich ist Politiker 1?","Wie rassistisch ist Politiker 1?","Wie ehrlich ist Politiker 1?","Wie hilfsbereit ist Politiker 1?","Wie intelligent ist Politiker 1?","Wie christlich ist Politiker 1?","Wie freundlich ist Politiker 1?","Zu welcher Partei gehört Politiker 1?","Wie alt ist Politiker 2?","Wie fortschrittlich ist Politiker 2?","Wie rassistisch ist Politiker 2?","Wie ehrlich ist Politiker 2?","Wie hilfsbereit ist Politiker 2?","Wie intelligent ist Politiker 2?","Wie christlich ist Politiker 2?","Wie freundlich ist Politiker 2?","Zu welcher Partei gehört Politiker 2?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/02/18 12:32:34 PM GMT+1","40-59","3","1","3","3","3","4","4","CDU","40-59","3","2","3","3","3","3","3","AfD","35","männlich","Abitur","Grüne","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/02/18 12:32:53 PM GMT+1","40-59","4","1","3","3","4","4","4","Grüne","40-59","3","2","4","3","3","4","3","keine Angabe","23","männlich","Abitur","keine Angabe","Neutral","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu",""
"2022/02/18 12:36:32 PM GMT+1","40-59","3","3","3","4","3","4","4","keine Angabe","60-79","1","5","4","2","3","2","2","AfD","44","männlich","Studium","CDU","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/02/18 12:37:28 PM GMT+1","60-79","2","3","3","3","3","5","3","CDU","60-79","1","4","3","2","3","4","2","AfD","27","männlich","Abitur","Volt","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/02/18 12:40:03 PM GMT+1","20-39","4","1","3","3","4","3","3","Grüne","40-59","2","4","3","2","2","3","2","AfD","51","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Die Aussage ""Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können."" zu bewerten finde ich schwierig, da ich die staatliche Anerkennung von Religionsgemeinschaften allgemein ablehne (auch die der christlichen Kirchen)"
"2022/02/18 12:40:55 PM GMT+1","20-39","3","3","3","3","3","3","3","keine Angabe","60-79","1","4","2","2","2","3","2","AfD","32","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/02/18 12:41:01 PM GMT+1","20-39","4","1","4","3","3","3","3","Grüne","40-59","1","4","3","2","1","1","1","AfD","36","männlich","Studium","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Ich stimme nicht zu",""
"2022/02/18 12:42:16 PM GMT+1","40-59","4","3","4","5","5","3","3","SPD","60-79","1","5","1","1","1","5","1","AfD","21","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/02/18 12:43:19 PM GMT+1","60-79","2","3","2","3","4","4","3","CDU","60-79","2","3","3","3","4","4","3","CDU","29","männlich","Studium","FDP","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/02/18 12:43:32 PM GMT+1","40-59","4","3","4","3","3","4","3","CDU","60-79","2","4","3","2","3","4","2","CDU","26","männlich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
