"Timestamp","Wie alt ist Politiker 1?","Wie fortschrittlich ist Politiker 1?","Wie rassistisch ist Politiker 1?","Wie ehrlich ist Politiker 1?","Wie hilfsbereit ist Politiker 1?","Wie intelligent ist Politiker 1?","Wie christlich ist Politiker 1?","Wie freundlich ist Politiker 1?","Zu welcher Partei gehört Politiker 1?","Wie alt ist Politiker 2?","Wie fortschrittlich ist Politiker 2?","Wie rassistisch ist Politiker 2?","Wie ehrlich ist Politiker 2?","Wie hilfsbereit ist Politiker 2?","Wie intelligent ist Politiker 2?","Wie christlich ist Politiker 2?","Wie freundlich ist Politiker 2?","Zu welcher Partei gehört Politiker 2?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/05/09 11:22:04 AM GMT+2","20-39","2","2","3","2","3","2","2","Grüne","20-39","4","1","4","4","4","3","3","SPD","55","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",""
"2022/05/09 11:23:31 AM GMT+2","40-59","3","3","3","3","3","3","3","CDU","20-39","3","3","3","3","3","3","3","SPD","24","männlich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/09 11:26:17 AM GMT+2","40-59","4","2","4","4","4","3","4","CDU","20-39","4","1","3","5","3","4","4","Grüne","34","männlich","Studium","CDU","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu",""
"2022/05/09 11:26:23 AM GMT+2","40-59","2","2","1","2","2","5","2","CDU","40-59","3","2","2","3","3","4","3","Freie Wähler","19","männlich","Realschule","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/09 11:26:29 AM GMT+2","40-59","3","3","2","2","3","3","3","CDU","40-59","2","4","1","1","2","2","2","CDU","38","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/09 11:27:09 AM GMT+2","40-59","3","2","4","4","3","2","3","CDU","40-59","4","2","3","4","3","2","4","Grüne","25","weiblich","Abitur","FDP","Ich stimme zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",""
"2022/05/09 11:28:18 AM GMT+2","40-59","1","1","3","3","2","3","3","SPD","40-59","5","1","3","4","4","3","4","SPD","59","weiblich","Realschule","SPD","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Neutral",""
"2022/05/09 11:33:39 AM GMT+2","40-59","1","1","2","2","2","3","3","CDU","20-39","4","1","3","4","3","2","4","SPD","25","männlich","Realschule","Die Partei","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/09 11:34:15 AM GMT+2","40-59","1","3","3","3","2","3","3","AfD","40-59","3","3","3","3","3","3","3","keine Angabe","57","männlich","Studium","SPD","Ich stimme nicht zu","Neutral","Neutral","Neutral","Neutral",""
"2022/05/09 11:34:33 AM GMT+2","40-59","3","3","3","3","3","3","2","AfD","20-39","5","1","4","4","4","2","4","Grüne","§""","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/09 11:35:00 AM GMT+2","40-59","5","1","1","5","3","3","3","CDU","40-59","4","1","3","4","3","3","3","SPD","25","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral","Alles Gute!"
"2022/05/09 11:35:21 AM GMT+2","40-59","2","2","2","2","2","3","3","SPD","60-79","1","4","2","1","2","4","2","AfD","30","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/09 11:36:17 AM GMT+2","20-39","3","2","3","3","3","3","3","CDU","40-59","3","4","4","4","3","4","3","Grüne","35","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/09 11:38:06 AM GMT+2","40-59","4","2","3","3","3","2","4","SPD","20-39","4","1","4","4","3","2","4","Grüne","23","männlich","Hauptschule","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme nicht zu",""
"2022/05/09 11:38:16 AM GMT+2","60-79","1","3","1","2","2","3","2","CDU","40-59","3","2","2","2","3","3","2","das kann ich nicht einordnen","34","weiblich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/09 11:39:27 AM GMT+2","60-79","3","1","2","3","3","4","4","CDU","40-59","3","2","2","2","3","4","3","CDU","35","weiblich","Studium","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral","Anhand eines Satzes Persönlichkeitsmerkmale einzuschätzen erscheint mit unmöglich. Ich war mir immer sehr unklar, was ich ankreuzen sollte."
"2022/05/09 11:40:14 AM GMT+2","40-59","3","3","3","3","3","3","3","CDU","20-39","3","3","3","3","4","3","4","CDU","27","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/09 11:44:02 AM GMT+2","40-59","3","3","3","3","3","3","3","keine Ahnung","40-59","3","3","3","3","3","3","3","keine Ahnung","34","männlich","Abitur","Die Partei","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme zu",""
"2022/05/09 12:00:30 PM GMT+2","20-39","5","3","4","4","4","3","5","Grüne","40-59","5","2","4","4","5","3","4","SPD","66","männlich","Hauptschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/05/09 12:02:11 PM GMT+2","60-79","2","3","3","2","3","3","3","CDU","60-79","2","3","2","1","3","2","3","CDU","29","weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme nicht zu","Neutral",""
