"Timestamp","Wie alt ist Politiker 1?","Wie fortschrittlich ist Politiker 1?","Wie rassistisch ist Politiker 1?","Wie ehrlich ist Politiker 1?","Wie hilfsbereit ist Politiker 1?","Wie intelligent ist Politiker 1?","Wie christlich ist Politiker 1?","Wie freundlich ist Politiker 1?","Zu welcher Partei gehört Politiker 1?","Wie alt ist Politiker 2?","Wie fortschrittlich ist Politiker 2?","Wie rassistisch ist Politiker 2?","Wie ehrlich ist Politiker 2?","Wie hilfsbereit ist Politiker 2?","Wie intelligent ist Politiker 2?","Wie christlich ist Politiker 2?","Wie freundlich ist Politiker 2?","Zu welcher Partei gehört Politiker 2?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/05/09 10:07:09 AM GMT+2","60-79","2","4","3","2","2","3","3","AfD","40-59","4","2","2","4","4","3","3","Linke","23","männlich","Studium","Die Partei","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/05/09 10:07:15 AM GMT+2","40-59","2","4","3","2","2","3","2","AfD","40-59","4","2","3","4","4","3","4","FDP","46","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Viel Erfolg!"
"2022/05/09 10:10:20 AM GMT+2","40-59","2","3","2","2","2","2","2","AfD","20-39","3","2","3","2","2","3","3","Grüne","26","männlich","Studium","FDP","Neutral","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/05/09 10:10:44 AM GMT+2","40-59","2","3","2","2","2","2","2","CDU","40-59","3","2","2","3","2","2","2","CDU","25","männlich","Abitur","Ungültig","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme zu",""
"2022/05/09 10:11:57 AM GMT+2","40-59","1","4","1","1","3","3","1","CDU","40-59","3","3","3","3","3","3","3","keine Angabe","52","männlich","Realschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Die Einschätzungen anhand eines Satzes ohne Kontext sind quasi unmöglich machbar. "
"2022/05/09 10:12:00 AM GMT+2","40-59","2","3","3","2","2","3","2","CDU","20-39","4","2","3","4","3","1","4","Grüne","32","männlich","Studium","Volt","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/09 10:12:55 AM GMT+2","40-59","2","4","2","3","3","4","3","AfD","40-59","2","4","2","2","2","4","2","AfD","27","männlich","Realschule","FDP","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/05/09 10:13:34 AM GMT+2","40-59","2","1","3","2","3","1","3","SPD","40-59","3","1","3","3","4","2","4","SPD","24","männlich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/09 10:14:21 AM GMT+2","60-79","3","4","3","2","3","2","2","AfD","40-59","3","3","3","3","2","4","3","CDU","22","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/09 10:15:00 AM GMT+2","40-59","2","3","2","1","3","5","3","CDU","20-39","4","2","3","4","4","3","4","SPD","26","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/09 10:15:09 AM GMT+2","40-59","3","5","2","2","2","4","2","AfD","40-59","4","2","3","4","3","3","4","SPD","31","männlich","Studium","SPD","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Neutral","Neutral",""
"2022/05/09 10:16:06 AM GMT+2","40-59","2","4","3","2","4","4","2","AfD","60-79","2","4","2","2","4","4","2","CDU","23","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme nicht zu",""
"2022/05/09 10:16:36 AM GMT+2","20-39","1","3","3","2","2","4","1","AfD","40-59","4","2","3","4","4","2","3","Grüne","25","männlich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/09 10:17:09 AM GMT+2","40-59","3","2","2","3","4","2","3","FDP","60-79","2","4","3","2","3","1","2","AfD","21","männlich","Abitur","keine Angabe","Neutral","Neutral","Ich stimme zu","Neutral","Ich stimme zu","/"
"2022/05/09 10:17:33 AM GMT+2","40-59","1","5","2","1","3","4","1","AfD","40-59","3","3","3","2","4","3","2","CDU","32","männlich","Studium","FDP","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/09 10:18:51 AM GMT+2","60-79","2","4","2","2","2","4","2","AfD","60-79","2","4","2","2","2","3","2","AfD","22","männlich","Abitur","Grüne","Neutral","Ich stimme zu","Ich stimme nicht zu","Neutral","Neutral",""
"2022/05/09 10:19:21 AM GMT+2","40-59","2","4","2","3","3","3","3","keine Angabe","40-59","3","3","3","3","3","3","3","keine Angabe","31","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral","Es war unglaublich schwer anhand der kurzen Aussagen eine Einschätzung zu treffen. Mit differenziertem Betrachten hat das echt wenig zu tun."
"2022/05/09 10:20:56 AM GMT+2","40-59","3","3","4","4","3","3","3","keine Angabe","40-59","4","1","4","4","3","3","4","keine Angabe","69","weiblich","Studium","FDP","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",""
"2022/05/09 10:23:12 AM GMT+2","40-59","3","4","3","3","4","3","3","AfD","20-39","4","2","4","3","3","3","3","Grüne","49","weiblich","Studium","FDP","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/09 10:31:37 AM GMT+2","40-59","2","3","3","2","3","4","2","AfD","40-59","3","2","2","3","3","3","3","CDU","30","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
