"","time","age","gender","education","party","wom.refugees","wom.headscarf","wom.citizenship","wom.islam","wom.asylum","comment","list","subj","item","rating","item.string","item.type","pair"
"17","2022/05/30 2:37:20 PM GMT+2",23,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",NA,"1",6,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"18","2022/05/30 2:37:20 PM GMT+2",23,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",NA,"1",6,"target",3,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"19","2022/05/30 2:38:31 PM GMT+2",39,"weiblich","Studium","Grüne","Neutral","Ich stimme zu","Neutral","Ich stimme zu","Neutral",NA,"1",7,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"20","2022/05/30 2:38:31 PM GMT+2",39,"weiblich","Studium","Grüne","Neutral","Ich stimme zu","Neutral","Ich stimme zu","Neutral",NA,"1",7,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"21","2022/05/30 2:38:31 PM GMT+2",39,"weiblich","Studium","Grüne","Neutral","Ich stimme zu","Neutral","Ich stimme zu","Neutral",NA,"1",7,"target",3,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"22","2022/05/30 2:40:23 PM GMT+2",21,"männlich","Realschule","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,"1",8,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"23","2022/05/30 2:40:23 PM GMT+2",21,"männlich","Realschule","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,"1",8,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"24","2022/05/30 2:40:23 PM GMT+2",21,"männlich","Realschule","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,"1",8,"target",1,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"25","2022/05/30 2:43:07 PM GMT+2",23,"männlich","Hauptschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",NA,"1",9,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"26","2022/05/30 2:43:07 PM GMT+2",23,"männlich","Hauptschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",NA,"1",9,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"27","2022/05/30 2:43:07 PM GMT+2",23,"männlich","Hauptschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",NA,"1",9,"target",1,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"28","2022/05/30 2:43:38 PM GMT+2",59,"weiblich","Realschule","SPD","Ich stimme zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",NA,"1",10,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"29","2022/05/30 2:43:38 PM GMT+2",59,"weiblich","Realschule","SPD","Ich stimme zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",NA,"1",10,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"30","2022/05/30 2:43:38 PM GMT+2",59,"weiblich","Realschule","SPD","Ich stimme zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",NA,"1",10,"target",1,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"31","2022/05/30 2:44:08 PM GMT+2",45,"männlich","Realschule","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Ich stimme zu",NA,"1",11,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"32","2022/05/30 2:44:08 PM GMT+2",45,"männlich","Realschule","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Ich stimme zu",NA,"1",11,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"33","2022/05/30 2:44:08 PM GMT+2",45,"männlich","Realschule","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Ich stimme zu",NA,"1",11,"target",2,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"34","2022/05/30 2:44:09 PM GMT+2",22,"weiblich","Abitur","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"1",12,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"35","2022/05/30 2:44:09 PM GMT+2",22,"weiblich","Abitur","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"1",12,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"36","2022/05/30 2:44:09 PM GMT+2",22,"weiblich","Abitur","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"1",12,"target",1,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"37","2022/05/30 2:44:38 PM GMT+2",18,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,"1",13,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"38","2022/05/30 2:44:38 PM GMT+2",18,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,"1",13,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"39","2022/05/30 2:44:38 PM GMT+2",18,"weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,"1",13,"target",1,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"40","2022/05/30 2:45:59 PM GMT+2",55,"männlich","Hauptschule","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme nicht zu",NA,"1",14,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"41","2022/05/30 2:45:59 PM GMT+2",55,"männlich","Hauptschule","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme nicht zu",NA,"1",14,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"42","2022/05/30 2:45:59 PM GMT+2",55,"männlich","Hauptschule","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme nicht zu",NA,"1",14,"target",2,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"43","2022/05/30 2:48:45 PM GMT+2",24,"divers","kein Abschluss","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,"1",15,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"44","2022/05/30 2:48:45 PM GMT+2",24,"divers","kein Abschluss","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,"1",15,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"45","2022/05/30 2:48:45 PM GMT+2",24,"divers","kein Abschluss","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,"1",15,"target",2,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"46","2022/05/30 2:49:52 PM GMT+2",20,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"1",16,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"47","2022/05/30 2:49:52 PM GMT+2",20,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"1",16,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"48","2022/05/30 2:49:52 PM GMT+2",20,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"1",16,"target",2,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"49","2022/05/30 2:51:21 PM GMT+2",21,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",NA,"1",17,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"50","2022/05/30 2:51:21 PM GMT+2",21,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",NA,"1",17,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"51","2022/05/30 2:51:21 PM GMT+2",21,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",NA,"1",17,"target",1,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"52","2022/05/30 2:53:10 PM GMT+2",41,"männlich","Promotion","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"1",18,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"53","2022/05/30 2:53:10 PM GMT+2",41,"männlich","Promotion","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"1",18,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"54","2022/05/30 2:53:10 PM GMT+2",41,"männlich","Promotion","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"1",18,"target",1,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"55","2022/05/30 2:53:10 PM GMT+2",24,"männlich","Abitur","Piraten Partei","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"1",19,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"56","2022/05/30 2:53:10 PM GMT+2",24,"männlich","Abitur","Piraten Partei","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"1",19,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"57","2022/05/30 2:53:10 PM GMT+2",24,"männlich","Abitur","Piraten Partei","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"1",19,"target",4,"Kampf für Deutschland weiter","dog whistle","Kampf für Deutschland"
"58","2022/05/30 3:41:26 PM GMT+2",20,"weiblich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"2",20,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"59","2022/05/30 3:41:26 PM GMT+2",20,"weiblich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"2",20,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"60","2022/05/30 3:41:26 PM GMT+2",20,"weiblich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"2",20,"target",3,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"61","2022/05/30 3:45:16 PM GMT+2",28,"männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"2",21,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"62","2022/05/30 3:45:16 PM GMT+2",28,"männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"2",21,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"63","2022/05/30 3:45:16 PM GMT+2",28,"männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"2",21,"target",1,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"64","2022/05/30 3:51:43 PM GMT+2",51,"männlich","Realschule","keine Angabe","Ich stimme zu","Neutral","Ich stimme nicht zu","Neutral","Ich stimme zu","nein","2",22,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"65","2022/05/30 3:51:43 PM GMT+2",51,"männlich","Realschule","keine Angabe","Ich stimme zu","Neutral","Ich stimme nicht zu","Neutral","Ich stimme zu","nein","2",22,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"66","2022/05/30 3:51:43 PM GMT+2",51,"männlich","Realschule","keine Angabe","Ich stimme zu","Neutral","Ich stimme nicht zu","Neutral","Ich stimme zu","nein","2",22,"target",4,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"67","2022/05/30 3:51:57 PM GMT+2",21,"männlich","Realschule","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,"2",23,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"68","2022/05/30 3:51:57 PM GMT+2",21,"männlich","Realschule","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,"2",23,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"69","2022/05/30 3:51:57 PM GMT+2",21,"männlich","Realschule","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,"2",23,"target",1,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"70","2022/05/30 3:59:06 PM GMT+2",21,"männlich","Abitur","Die Partei","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Neutral","Ich stimme nicht zu",NA,"2",24,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"71","2022/05/30 3:59:06 PM GMT+2",21,"männlich","Abitur","Die Partei","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Neutral","Ich stimme nicht zu",NA,"2",24,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"72","2022/05/30 3:59:06 PM GMT+2",21,"männlich","Abitur","Die Partei","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Neutral","Ich stimme nicht zu",NA,"2",24,"target",1,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"73","2022/05/30 3:59:40 PM GMT+2",26,"weiblich","Studium","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"2",25,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"74","2022/05/30 3:59:40 PM GMT+2",26,"weiblich","Studium","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"2",25,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"75","2022/05/30 3:59:40 PM GMT+2",26,"weiblich","Studium","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,"2",25,"target",2,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"76","2022/05/30 3:59:40 PM GMT+2",24,"weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Neutral","Ich stimme nicht zu","Ich stimme nicht zu",NA,"2",26,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"77","2022/05/30 3:59:40 PM GMT+2",24,"weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Neutral","Ich stimme nicht zu","Ich stimme nicht zu",NA,"2",26,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"78","2022/05/30 3:59:40 PM GMT+2",24,"weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Neutral","Ich stimme nicht zu","Ich stimme nicht zu",NA,"2",26,"target",2,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"79","2022/05/30 4:00:10 PM GMT+2",38,"weiblich","Studium","keine Angabe","Neutral","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu",NA,"2",27,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"80","2022/05/30 4:00:10 PM GMT+2",38,"weiblich","Studium","keine Angabe","Neutral","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu",NA,"2",27,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"81","2022/05/30 4:00:10 PM GMT+2",38,"weiblich","Studium","keine Angabe","Neutral","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu",NA,"2",27,"target",1,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"82","2022/05/30 4:02:51 PM GMT+2",47,"männlich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",28,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"83","2022/05/30 4:02:51 PM GMT+2",47,"männlich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",28,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"84","2022/05/30 4:02:51 PM GMT+2",47,"männlich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",28,"target",1,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"85","2022/05/30 4:05:28 PM GMT+2",26,"männlich","Studium","keine Angabe","Neutral","Neutral","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",29,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"86","2022/05/30 4:05:28 PM GMT+2",26,"männlich","Studium","keine Angabe","Neutral","Neutral","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",29,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"87","2022/05/30 4:05:28 PM GMT+2",26,"männlich","Studium","keine Angabe","Neutral","Neutral","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",29,"target",1,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"88","2022/05/30 4:10:16 PM GMT+2",32,"männlich","Studium","FDP","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",30,"control.c",4,"control.c","control.c","Kampf für Deutschland"
"89","2022/05/30 4:10:16 PM GMT+2",32,"männlich","Studium","FDP","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",30,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"90","2022/05/30 4:10:16 PM GMT+2",32,"männlich","Studium","FDP","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",30,"target",1,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"91","2022/05/30 4:11:35 PM GMT+2",24,"weiblich","Abitur","Die Urbane","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,"2",31,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"92","2022/05/30 4:11:35 PM GMT+2",24,"weiblich","Abitur","Die Urbane","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,"2",31,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"93","2022/05/30 4:11:35 PM GMT+2",24,"weiblich","Abitur","Die Urbane","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,"2",31,"target",3,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"94","2022/05/30 4:11:41 PM GMT+2",30,"weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Ich stimme zu",NA,"2",32,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"95","2022/05/30 4:11:41 PM GMT+2",30,"weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Ich stimme zu",NA,"2",32,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"96","2022/05/30 4:11:41 PM GMT+2",30,"weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Ich stimme zu",NA,"2",32,"target",1,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"97","2022/05/30 4:12:37 PM GMT+2",24,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"2",33,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"98","2022/05/30 4:12:37 PM GMT+2",24,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"2",33,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"99","2022/05/30 4:12:37 PM GMT+2",24,"männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"2",33,"target",5,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"100","2022/05/30 4:12:51 PM GMT+2",20,"männlich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"2",34,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"101","2022/05/30 4:12:51 PM GMT+2",20,"männlich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"2",34,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"102","2022/05/30 4:12:51 PM GMT+2",20,"männlich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,"2",34,"target",1,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"103","2022/05/30 4:13:02 PM GMT+2",37,"männlich","Realschule","keine Angabe","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",35,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"104","2022/05/30 4:13:02 PM GMT+2",37,"männlich","Realschule","keine Angabe","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",35,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"105","2022/05/30 4:13:02 PM GMT+2",37,"männlich","Realschule","keine Angabe","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,"2",35,"target",2,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"106","2022/05/30 4:13:40 PM GMT+2",40,"weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",NA,"2",36,"control.c",5,"control.c","control.c","Kampf für Deutschland"
"107","2022/05/30 4:13:40 PM GMT+2",40,"weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",NA,"2",36,"control.nc",1,"control.nc","control.nc","Kampf für Deutschland"
"108","2022/05/30 4:13:40 PM GMT+2",40,"weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",NA,"2",36,"target",3,"setzen wir uns für Deutschland ein","control","Kampf für Deutschland"
"109","2022/05/31 8:29:53 AM GMT+2",25,"männlich","Abitur","SPD","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu",NA,"3",37,"control.c",5,"control.c","control.c","Hilfe vor Ort"
"110","2022/05/31 8:29:53 AM GMT+2",25,"männlich","Abitur","SPD","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu",NA,"3",37,"control.nc",1,"control.nc","control.nc","Hilfe vor Ort"
